id,location_id,lon,lat,depth_cm,stratum_hint,planned_date,notes
P001-0_30,L001,-71.87633553,-16.73345963,0-30,,,
P001-30_70,L001,-71.87633553,-16.73345963,30-70,,,
P002-0_30,L002,-71.87899403,-16.73275909,0-30,,,
P002-30_70,L002,-71.87899403,-16.73275909,30-70,,,
P003-0_30,L003,-71.87562753,-16.73115625,0-30,,,
P003-30_70,L003,-71.87562753,-16.73115625,30-70,,,
P004-0_30,L004,-71.87449154,-16.73324074,0-30,,,
P004-30_70,L004,-71.87449154,-16.73324074,30-70,,,
P005-0_30,L005,-71.87792236,-16.73344271,0-30,,,
P005-30_70,L005,-71.87792236,-16.73344271,30-70,,,
P006-0_30,L006,-71.87940544,-16.73176186,0-30,,,
P006-30_70,L006,-71.87940544,-16.73176186,30-70,,,
P007-0_30,L007,-71.88080694,-16.73284524,0-30,,,
P007-30_70,L007,-71.88080694,-16.73284524,30-70,,,
P008-0_30,L008,-71.87625923,-16.73162195,0-30,,,
P008-30_70,L008,-71.87625923,-16.73162195,30-70,,,
P009-0_30,L009,-71.87939229,-16.73146529,0-30,,,
P009-30_70,L009,-71.87939229,-16.73146529,30-70,,,
P010-0_30,L010,-71.87509525,-16.73352506,0-30,,,
P010-30_70,L010,-71.87509525,-16.73352506,30-70,,,
P011-0_30,L011,-71.87512159,-16.73108048,0-30,,,
P011-30_70,L011,-71.87512159,-16.73108048,30-70,,,
P012-0_30,L012,-71.8785182,-16.73299849,0-30,,,
P012-30_70,L012,-71.8785182,-16.73299849,30-70,,,
P013-0_30,L013,-71.87401708,-16.73235834,0-30,,,
P013-30_70,L013,-71.87401708,-16.73235834,30-70,,,
P014-0_30,L014,-71.8803239,-16.73320618,0-30,,,
P014-30_70,L014,-71.8803239,-16.73320618,30-70,,,
P015-0_30,L015,-71.87481755,-16.73141418,0-30,,,
P015-30_70,L015,-71.87481755,-16.73141418,30-70,,,
P016-0_30,L016,-71.87511204,-16.73096881,0-30,,,
P016-30_70,L016,-71.87511204,-16.73096881,30-70,,,
P017-0_30,L017,-71.87708842,-16.73010858,0-30,,,
P017-30_70,L017,-71.87708842,-16.73010858,30-70,,,
P018-0_30,L018,-71.8782389,-16.73159686,0-30,,,
P018-30_70,L018,-71.8782389,-16.73159686,30-70,,,
P019-0_30,L019,-71.87494952,-16.73136189,0-30,,,
P019-30_70,L019,-71.87494952,-16.73136189,30-70,,,
P020-0_30,L020,-71.87471386,-16.73150739,0-30,,,
P020-30_70,L020,-71.87471386,-16.73150739,30-70,,,
P021-0_30,L021,-71.87586025,-16.73338606,0-30,,,
P021-30_70,L021,-71.87586025,-16.73338606,30-70,,,
P022-0_30,L022,-71.87933788,-16.73252519,0-30,,,
P022-30_70,L022,-71.87933788,-16.73252519,30-70,,,
P023-0_30,L023,-71.8804184,-16.73272523,0-30,,,
P023-30_70,L023,-71.8804184,-16.73272523,30-70,,,
P024-0_30,L024,-71.88026367,-16.73256554,0-30,,,
P024-30_70,L024,-71.88026367,-16.73256554,30-70,,,
P025-0_30,L025,-71.87636283,-16.73225854,0-30,,,
P025-30_70,L025,-71.87636283,-16.73225854,30-70,,,
P026-0_30,L026,-71.87829984,-16.73280753,0-30,,,
P026-30_70,L026,-71.87829984,-16.73280753,30-70,,,
P027-0_30,L027,-71.87905277,-16.73023745,0-30,,,
P027-30_70,L027,-71.87905277,-16.73023745,30-70,,,
P028-0_30,L028,-71.87627272,-16.73139507,0-30,,,
P028-30_70,L028,-71.87627272,-16.73139507,30-70,,,
P029-0_30,L029,-71.87975197,-16.73097095,0-30,,,
P029-30_70,L029,-71.87975197,-16.73097095,30-70,,,
P030-0_30,L030,-71.87980841,-16.73220685,0-30,,,
P030-30_70,L030,-71.87980841,-16.73220685,30-70,,,
